coverage,sequence_id,0,1,2,3,4,5,6,7,8,9
0.95,0,3,71,489,4166,27119,168059,0,0,0,0
0.95,1,14,139,1665,14556,117011,0,0,0,0,0
0.95,2,14,118,848,5331,32386,178677,0,0,0,0
0.95,3,22,134,952,5339,24093,93056,0,0,0,0
0.95,4,5,45,334,2604,16611,98186,0,0,0,0
0.95,5,35,215,1514,7875,41485,220398,0,0,0,0
0.95,6,6,21,155,1006,6486,40746,252463,0,0,0
0.95,7,35,209,1856,12793,84576,0,0,0,0,0
0.95,8,14,115,1016,7138,47970,280113,0,0,0,0
0.95,9,43,300,2724,18046,109730,0,0,0,0,0
0.95,10,3,74,503,4051,23863,134465,0,0,0,0
0.95,11,12,92,856,6022,41674,248513,0,0,0,0
0.95,12,7,22,188,1290,10220,68932,0,0,0,0
0.95,13,10,102,726,5011,32280,201667,0,0,0,0
0.95,14,17,175,1433,11643,81756,0,0,0,0,0
0.95,15,7,51,403,2789,17451,104150,0,0,0,0
0.95,16,20,218,1909,14806,103713,0,0,0,0,0
0.95,17,16,125,778,4087,21339,109942,0,0,0,0
0.95,18,43,421,3858,27594,179702,0,0,0,0,0
0.95,19,7,68,480,3610,22479,128305,0,0,0,0
0.95,20,24,188,1777,11354,68055,0,0,0,0,0
0.95,21,13,102,857,6048,41787,247969,0,0,0,0
0.95,22,12,102,715,6290,45553,319690,0,0,0,0
0.95,23,13,111,928,6761,44893,263765,0,0,0,0
0.95,24,10,80,538,3214,16543,87049,0,0,0,0
0.95,25,21,185,1549,11640,76548,0,0,0,0,0
0.95,26,16,142,906,5613,32801,178260,0,0,0,0
0.95,27,3,65,435,3368,22563,146819,0,0,0,0
0.95,28,18,155,1208,8515,60939,0,0,0,0,0
0.95,29,20,186,1519,11279,76359,0,0,0,0,0
0.95,30,9,81,669,4523,29591,172924,0,0,0,0
0.95,31,41,297,2954,23723,165758,0,0,0,0,0
0.95,32,25,234,1982,13869,92261,0,0,0,0,0
0.95,33,7,16,50,272,1369,8459,49945,278408,0,0
0.95,34,10,126,942,6925,45757,282875,0,0,0,0
0.95,35,2,4,3,19,143,1144,9083,66251,0,0
0.95,36,23,226,1579,11697,78044,0,0,0,0,0
0.95,37,12,103,620,3492,19137,103331,0,0,0,0
0.95,38,11,94,699,5482,40950,285020,0,0,0,0
0.95,39,4,36,275,2021,12230,70334,0,0,0,0
0.95,40,6,8,43,260,1857,12508,80003,0,0,0
0.95,41,6,8,12,34,73,140,235,725,4227,23250
0.95,42,5,32,246,1940,13266,91650,0,0,0,0
0.95,43,4,5,18,127,727,4702,27026,154299,0,0
0.95,44,20,180,1331,9120,54716,0,0,0,0,0
0.95,45,7,64,423,2923,19014,115050,0,0,0,0
0.95,46,9,37,280,1907,13985,94123,0,0,0,0
0.95,47,7,26,118,579,3836,23098,137601,0,0,0
0.95,48,15,131,1089,8084,55039,0,0,0,0,0
0.95,49,5,22,115,710,4381,25544,138832,0,0,0
0.95,50,5,26,171,1267,8461,50232,0,0,0,0
0.95,51,42,289,2489,15560,92389,0,0,0,0,0
0.95,52,7,43,246,1906,11585,66764,0,0,0,0
0.95,53,22,130,986,5671,25908,101831,0,0,0,0
0.95,54,19,187,1882,13521,93091,0,0,0,0,0
0.95,55,46,345,3382,22967,143888,0,0,0,0,0
0.95,56,4,37,181,1171,7178,45464,278835,0,0,0
0.95,57,5,34,184,1099,5853,27726,120997,0,0,0
0.95,58,14,122,1028,7616,52697,0,0,0,0,0
0.95,59,6,54,505,3728,25537,167033,0,0,0,0
0.95,60,17,123,689,5404,37313,233922,0,0,0,0
0.95,61,6,63,473,3491,21541,137150,0,0,0,0
0.95,62,30,184,1912,15327,109513,0,0,0,0,0
0.95,63,4,18,149,1171,8599,58299,0,0,0,0
0.95,64,2,2,2,1,1,2,3,5,24,203
0.95,65,7,41,335,2378,17145,118922,0,0,0,0
0.95,66,1,8,92,729,6072,46439,334980,0,0,0
0.95,67,7,67,724,6294,46830,321706,0,0,0,0
0.95,68,8,35,241,1832,12486,75402,0,0,0,0
0.95,69,6,46,324,1865,11306,63529,0,0,0,0
0.95,70,11,74,470,3144,18212,98352,0,0,0,0
0.95,71,10,40,278,1501,8653,46072,251695,0,0,0
0.95,72,8,32,220,1335,8897,59589,0,0,0,0
0.95,73,39,252,2402,18877,137550,0,0,0,0,0
0.95,74,6,25,153,1064,6736,41331,243242,0,0,0
0.95,75,15,134,1189,8243,53745,0,0,0,0,0
0.95,76,33,249,2254,15150,95540,0,0,0,0,0
0.95,77,1,1,1,1,1,1,19,158,1470,9195
0.95,78,32,195,1690,11388,75016,0,0,0,0,0
0.95,79,2,5,28,260,2161,16869,120760,0,0,0
0.95,80,14,97,805,5731,38434,224708,0,0,0,0
0.95,81,18,135,1052,7589,48928,286729,0,0,0,0
0.95,82,19,122,666,3412,16862,84489,0,0,0,0
0.95,83,6,50,296,1742,9822,56742,0,0,0,0
0.95,84,38,253,2356,17348,120254,0,0,0,0,0
0.95,85,5,54,330,2915,24260,186521,0,0,0,0
0.95,86,10,66,464,4030,29387,195745,0,0,0,0
0.95,87,34,201,1410,7083,38848,215220,0,0,0,0
0.95,88,5,42,247,1827,10708,64322,0,0,0,0
0.95,89,7,56,421,3032,17740,102993,0,0,0,0
0.95,90,24,300,3146,28615,222013,0,0,0,0,0
0.95,91,9,80,484,2796,14513,70076,0,0,0,0
0.95,92,42,270,2628,20929,151047,0,0,0,0,0
0.95,93,11,63,465,2992,18092,101769,0,0,0,0
0.95,94,6,33,149,680,3821,19326,101727,0,0,0
0.95,95,11,90,801,6062,43684,287080,0,0,0,0
0.95,96,7,62,392,2605,16489,97125,0,0,0,0
0.95,97,1,1,1,1,1,20,155,1490,9326,55599
0.95,98,25,153,1540,11362,76760,0,0,0,0,0
