entropy,num_steps,lim_entropy,dataset
4.413804,2,8.439015410352214,shakespeare
6.344221,3,12.658523115528322,shakespeare
8.376038,4,16.878030820704428,shakespeare
10.374441,5,21.097538525880534,shakespeare
12.476927,6,25.317046231056644,shakespeare
14.513052,7,29.53655393623275,shakespeare
16.508762,8,33.756061641408856,shakespeare
18.490772,9,37.97556934658496,shakespeare
20.456205,10,42.19507705176107,shakespeare
5.3578033,2,6.802394763324311,amazon
7.983696,3,10.203592144986466,amazon
10.56572,4,13.604789526648622,amazon
13.123538,5,17.005986908310778,amazon
15.702421,6,20.407184289972932,amazon
18.268679,7,23.80838167163509,amazon
20.848572,8,27.209579053297244,amazon
23.437786,9,30.610776434959398,amazon
26.04514,10,34.011973816621555,amazon
4.07621,2,9.169934957341145,moocs
5.998271,3,13.754902436011717,moocs
7.8379703,4,18.33986991468229,moocs
9.6595745,5,22.92483739335286,moocs
11.454466,6,27.509804872023434,moocs
13.31761,7,32.09477235069401,moocs
15.124013,8,36.67973982936458,moocs
16.965317,9,41.26470730803515,moocs
18.735207,10,45.84967478670572,moocs
1.3669969,2,8.954673628956414,apps
2.0550268,3,13.43201044343462,apps
2.6645317,4,17.909347257912827,apps
3.2117696,5,22.386684072391034,apps
3.740604,6,26.86402088686924,apps
4.304031,7,31.341357701347448,apps
4.8070536,8,35.818694515825655,apps
5.308732,9,40.29603133030386,apps
5.78738,10,44.77336814478207,apps
